UniqueID,ParcelID,LandUse,PropertyAddress,SaleDate,SalePrice,LegalReference,SoldAsVacant,Acreage,TaxDistrict,LandValue,BuildingValue,TotalValue,YearBuilt,Bedrooms,FullBath,HalfBath,property_street,property_city,owner_street,owner_city,owner_state
16919,"007 15 0 003.00","SINGLE FAMILY","633  GAYLEMORE DR, GOODLETTSVILLE",2013-04-09,157500.00,20140702-0058050,No,1.03,"GENERAL SERVICES DISTRICT",40000.00,115400.00,155400.00,1974,4,2,0,"633  GAYLEMORE DR"," GOODLETTSVILLE","633  GAYLEMORE DR"," GOODLETTSVILLE"," TN"
16920,"007 15 0 004.00","SINGLE FAMILY","637  GAYLEMORE DR, GOODLETTSVILLE",2013-04-09,247400.00,20140630-0057267,No,1.03,"GENERAL SERVICES DISTRICT",40000.00,180300.00,234000.00,1974,3,3,0,"637  GAYLEMORE DR"," GOODLETTSVILLE","637  GAYLEMORE DR"," GOODLETTSVILLE"," TN"
51967,"007 15 0 008.00","SINGLE FAMILY","1976 SADIE  LN, GOODLETTSVILLE",2013-04-09,211500.00,20160720-0074793,No,1.08,"GENERAL SERVICES DISTRICT",40000.00,129200.00,169200.00,1974,4,2,0,"1976 SADIE  LN"," GOODLETTSVILLE","2001  SADIE LN"," GOODLETTSVILLE"," TN"
28155,"007 15 0 014.00","SINGLE FAMILY","644  GAYLEMORE DR, GOODLETTSVILLE",2013-04-09,185900.00,20150402-0029022,No,1.03,"GENERAL SERVICES DISTRICT",40000.00,127400.00,167400.00,1974,3,2,0,"644  GAYLEMORE DR"," GOODLETTSVILLE","644  GAYLEMORE DR"," GOODLETTSVILLE"," TN"
8899,"007 15 0 020.00","SINGLE FAMILY","1921  NORMERLE DR, GOODLETTSVILLE",2013-04-09,349900.00,20131018-0109102,No,1.03,"GENERAL SERVICES DISTRICT",40000.00,286500.00,346300.00,1974,3,3,1,"1921  NORMERLE DR"," GOODLETTSVILLE","1921  NORMERLE DR"," GOODLETTSVILLE"," TN"
4513,"007 15 0 031.00","SINGLE FAMILY","1916  NORMERLE DR, GOODLETTSVILLE",2013-04-09,192500.00,20130711-0071698,No,1,"GENERAL SERVICES DISTRICT",40000.00,130400.00,170400.00,1986,3,2,1,"1916  NORMERLE DR"," GOODLETTSVILLE","1916  NORMERLE DR"," GOODLETTSVILLE"," TN"
27161,"007 15 0 044.00","SINGLE FAMILY","2050  GRACELAND DR, GOODLETTSVILLE",2013-04-09,279900.00,20150212-0012993,No,1.28,"GENERAL SERVICES DISTRICT",40000.00,238900.00,278900.00,1985,3,3,0,"2050  GRACELAND DR"," GOODLETTSVILLE","2050  GRACELAND DR"," GOODLETTSVILLE"," TN"
46859,"007 15 0 048.00","SINGLE FAMILY","2034  GRACELAND DR, GOODLETTSVILLE",2013-04-09,379900.00,20160418-0036715,No,2.61,"GENERAL SERVICES DISTRICT",52900.00,330700.00,383600.00,1997,5,4,1,"2034  GRACELAND DR"," GOODLETTSVILLE","2034  GRACELAND DR"," GOODLETTSVILLE"," TN"
5802,"007 15 0 052.00","SINGLE FAMILY","811  BENTON CT, GOODLETTSVILLE",2013-04-09,192500.00,20130712-0072376,No,1.1,"GENERAL SERVICES DISTRICT",40000.00,158000.00,198000.00,1989,3,3,0,"811  BENTON CT"," GOODLETTSVILLE","811  BENTON CT"," GOODLETTSVILLE"," TN"
36501,"010 00 0 045.00","SINGLE FAMILY","331  VIEW RIDGE DR, GOODLETTSVILLE",2013-04-09,193500.00,20150903-0090036,No,1.69,"GENERAL SERVICES DISTRICT",35100.00,116600.00,151700.00,1988,3,2,0,"331  VIEW RIDGE DR"," GOODLETTSVILLE","331  VIEW RIDGE DR"," GOODLETTSVILLE"," TN"
8900,"010 00 0 052.00","SINGLE FAMILY","361  VIEW RIDGE DR, GOODLETTSVILLE",2013-04-09,172400.00,20131030-0112723,No,2.5,"GENERAL SERVICES DISTRICT",39800.00,112800.00,152600.00,1982,3,2,0,"361  VIEW RIDGE DR"," GOODLETTSVILLE","361  VIEW RIDGE DR"," GOODLETTSVILLE"," TN"
26215,"012 00 0 082.00","SINGLE FAMILY","8154  OLD SPRINGFIELD PIKE, GOODLETTSVILLE",2013-04-09,162500.00,20150127-0007529,No,2.31,"GENERAL SERVICES DISTRICT",50000.00,119300.00,179200.00,1986,2,1,1,"8154  OLD SPRINGFIELD PIKE"," GOODLETTSVILLE","8154  OLD SPRINGFIELD PIKE"," GOODLETTSVILLE"," TN"
19806,"012 00 0 083.00","SINGLE FAMILY","8158  OLD SPRINGFIELD PIKE, GOODLETTSVILLE",2013-04-09,235000.00,20140808-0071505,No,2.31,"GENERAL SERVICES DISTRICT",50000.00,134800.00,232300.00,1983,3,2,0,"8158  OLD SPRINGFIELD PIKE"," GOODLETTSVILLE","8158  OLD SPRINGFIELD PIKE"," GOODLETTSVILLE"," TN"
8901,"012 00 0 109.00","SINGLE FAMILY","8136  OLD SPRINGFIELD PIKE, GOODLETTSVILLE",2013-04-09,225000.00,20131022-0110073,No,3.71,"GENERAL SERVICES DISTRICT",66800.00,140300.00,207100.00,1987,3,2,0,"8136  OLD SPRINGFIELD PIKE"," GOODLETTSVILLE","8136  OLD SPRINGFIELD PIKE"," GOODLETTSVILLE"," TN"
36502,"012 02 0 011.00","SINGLE FAMILY","1334  SPRINGFIELD HWY, GOODLETTSVILLE",2013-04-09,271000.00,20150901-0088477,No,1.75,"GENERAL SERVICES DISTRICT",46000.00,153700.00,220900.00,1979,3,3,0,"1334  SPRINGFIELD HWY"," GOODLETTSVILLE","1334  SPRINGFIELD HWY"," GOODLETTSVILLE"," TN"
13354,"012 02 0 019.00","SINGLE FAMILY","1412  SPRINGFIELD HWY, GOODLETTSVILLE",2013-04-09,359900.00,20140321-0023358,No,1.17,"GENERAL SERVICES DISTRICT",40000.00,333300.00,373300.00,2000,4,4,1,"1412  SPRINGFIELD HWY"," GOODLETTSVILLE","1412  SPRINGFIELD HWY"," GOODLETTSVILLE"," TN"
45285,"012 03 0 006.00","SINGLE FAMILY","612  GAYLEMORE DR, GOODLETTSVILLE",2013-04-09,276500.00,20160317-0025384,No,1.01,"GENERAL SERVICES DISTRICT",40000.00,169200.00,209200.00,1973,3,3,0,"612  GAYLEMORE DR"," GOODLETTSVILLE","612  GAYLEMORE DR"," GOODLETTSVILLE"," TN"
53116,"012 03 0 009.00","SINGLE FAMILY","2013 SUNNYSLOPE  LN, GOODLETTSVILLE",2013-04-09,271500.00,20160831-0091434,No,1.03,"GENERAL SERVICES DISTRICT",40000.00,133300.00,173300.00,1974,3,2,0,"2013 SUNNYSLOPE  LN"," GOODLETTSVILLE","2013  SUNNYSLOPE LN"," GOODLETTSVILLE"," TN"
15542,"012 03 0 012.00","SINGLE FAMILY","600  SUNNYSLOPE CT, GOODLETTSVILLE",2013-04-09,205900.00,20140529-0045974,No,1.07,"GENERAL SERVICES DISTRICT",40000.00,148200.00,188200.00,1973,3,3,0,"600  SUNNYSLOPE CT"," GOODLETTSVILLE","600  SUNNYSLOPE CT"," GOODLETTSVILLE"," TN"
54584,"012 03 0 013.00","SINGLE FAMILY","604 SUNNYSLOPE  CT, GOODLETTSVILLE",2013-04-09,228000.00,20160927-0101636,No,1.01,"GENERAL SERVICES DISTRICT",40000.00,143300.00,183300.00,1973,3,2,0,"604 SUNNYSLOPE  CT"," GOODLETTSVILLE","604  SUNNYSLOPE CT"," GOODLETTSVILLE"," TN"
1207,"012 03 0 018.00","SINGLE FAMILY","609  SUNNYSLOPE CT, GOODLETTSVILLE",2013-04-09,160000.00,20130319-0026986,No,1.07,"GENERAL SERVICES DISTRICT",40000.00,104900.00,153400.00,1973,3,3,0,"609  SUNNYSLOPE CT"," GOODLETTSVILLE","609  SUNNYSLOPE CT"," GOODLETTSVILLE"," TN"
667,"012 03 0 023.00","SINGLE FAMILY","621  GAYLEMORE DR, GOODLETTSVILLE",2013-04-09,129900.00,20130215-0015687,No,1.05,"GENERAL SERVICES DISTRICT",40000.00,138900.00,205600.00,1974,3,1,1,"621  GAYLEMORE DR"," GOODLETTSVILLE","621  GAYLEMORE DR"," GOODLETTSVILLE"," TN"
34752,"012 03 0 025.00","SINGLE FAMILY","613  GAYLEMORE DR, GOODLETTSVILLE",2013-04-09,230000.00,20150721-0071254,No,0.98,"GENERAL SERVICES DISTRICT",40000.00,126400.00,181100.00,1974,3,2,0,"613  GAYLEMORE DR"," GOODLETTSVILLE","613  GAYLEMORE DR"," GOODLETTSVILLE"," TN"
39426,"015 14 0 011.00","SINGLE FAMILY","3128  UNION HILL RD, JOELTON",2013-04-09,90000.00,20151006-0101964,No,0.93,"GENERAL SERVICES DISTRICT",30000.00,64100.00,95700.00,1964,3,1,0,"3128  UNION HILL RD"," JOELTON","3128  UNION HILL RD"," JOELTON"," TN"
48717,"015 14 0 045.00","SINGLE FAMILY","7515 GARY  RD, JOELTON",2013-04-09,160000.00,20160606-0056507,No,1.06,"GENERAL SERVICES DISTRICT",30000.00,148700.00,180000.00,1967,3,2,0,"7515 GARY  RD"," JOELTON","7515  GARY RD"," JOELTON"," TN"
53117,"015 14 0 053.00","SINGLE FAMILY","7620 GERALD  DR, JOELTON",2013-04-09,195900.00,20160810-0083381,No,1.07,"GENERAL SERVICES DISTRICT",30000.00,94600.00,150500.00,1973,3,1,0,"7620 GERALD  DR"," JOELTON","7620  GERALD DR"," JOELTON"," TN"
39427,"015 14 0 054.00","SINGLE FAMILY","7624  GERALD DR, JOELTON",2013-04-09,122431.00,20151013-0103951,No,1.07,"GENERAL SERVICES DISTRICT",30000.00,97100.00,140700.00,1972,3,1,0,"7624  GERALD DR"," JOELTON","7624  GERALD DR"," JOELTON"," TN"
5803,"015 14 0 055.00","SINGLE FAMILY","7628  GERALD DR, JOELTON",2013-04-09,119900.00,20130718-0074201,No,1.05,"GENERAL SERVICES DISTRICT",30000.00,88600.00,119300.00,1973,3,1,0,"7628  GERALD DR"," JOELTON","7628  GERALD DR"," JOELTON"," TN"
6993,"015 14 0 060.00","SINGLE FAMILY","3113  MILLIKEN DR, JOELTON",2013-04-09,145000.00,20130821-0088382,No,0.98,"GENERAL SERVICES DISTRICT",30000.00,111200.00,141200.00,1996,3,2,0,"3113  MILLIKEN DR"," JOELTON","3113  MILLIKEN DR"," JOELTON"," TN"
45286,"015 14 0 061.00","SINGLE FAMILY","3117  MILLIKEN DR, JOELTON",2013-04-09,169900.00,20160413-0035454,No,0.98,"GENERAL SERVICES DISTRICT",30000.00,115900.00,145900.00,1997,3,2,0,"3117  MILLIKEN DR"," JOELTON","3117  MILLIKEN DR"," JOELTON"," TN"
3267,"015 14 0 071.00","SINGLE FAMILY","3107  MARGIE DR, JOELTON",2013-04-09,103500.00,20130513-0047997,No,1.03,"GENERAL SERVICES DISTRICT",30000.00,83000.00,113000.00,1972,3,1,0,"3107  MARGIE DR"," JOELTON","3107  MARGIE DR"," JOELTON"," TN"
34753,"015 14 0 075.00","SINGLE FAMILY","3124  MARGIE DR, JOELTON",2013-04-09,184000.00,20150803-0076727,No,1.03,"GENERAL SERVICES DISTRICT",30000.00,116100.00,146100.00,1972,4,2,0,"3124  MARGIE DR"," JOELTON","3124  MARGIE DR"," JOELTON"," TN"
39428,"016 00 0 093.00","SINGLE FAMILY","2466  UNION HILL RD, GOODLETTSVILLE",2013-04-09,165000.00,20151014-0104536,No,2,"GENERAL SERVICES DISTRICT",39800.00,134300.00,174100.00,1976,3,2,0,"2466  UNION HILL RD"," GOODLETTSVILLE","2466  UNION HILL RD"," GOODLETTSVILLE"," TN"
21298,"016 00 0 110.00","SINGLE FAMILY","7221  APPLE VIEW DR, GOODLETTSVILLE",2013-04-09,290000.00,20141009-0093665,No,1.35,"GENERAL SERVICES DISTRICT",35100.00,173300.00,240100.00,1993,3,2,0,"7221  APPLE VIEW DR"," GOODLETTSVILLE","7221  APPLE VIEW DR"," GOODLETTSVILLE"," TN"
34754,"016 00 0 143.00","SINGLE FAMILY","7104  LAMA TERRA DR, GOODLETTSVILLE",2013-04-09,260000.00,20150708-0066261,No,1.14,"GENERAL SERVICES DISTRICT",35100.00,147700.00,196200.00,1985,3,2,0,"7104  LAMA TERRA DR"," GOODLETTSVILLE","7104  LAMA TERRA DR"," GOODLETTSVILLE"," TN"
39429,"016 00 0 184.00","SINGLE FAMILY","7143  LAMA TERRA DR, GOODLETTSVILLE",2013-04-09,200000.00,20151013-0103879,No,1.46,"GENERAL SERVICES DISTRICT",35100.00,134500.00,169600.00,1993,3,3,0,"7143  LAMA TERRA DR"," GOODLETTSVILLE","7143  LAMA TERRA DR"," GOODLETTSVILLE"," TN"
5804,"016 00 0 191.00","SINGLE FAMILY","7175  LAMA TERRA DR, GOODLETTSVILLE",2013-04-09,165000.00,20130729-0078604,No,1.77,"GENERAL SERVICES DISTRICT",35100.00,121400.00,156500.00,1988,3,3,0,"7175  LAMA TERRA DR"," GOODLETTSVILLE","7175  LAMA TERRA DR"," GOODLETTSVILLE"," TN"
34755,"016 00 0 216.00","SINGLE FAMILY","6912  RIDGERUNNER CT, GOODLETTSVILLE",2013-04-09,230000.00,20150713-0067794,No,0.94,"GENERAL SERVICES DISTRICT",35100.00,144500.00,179600.00,1989,3,2,1,"6912  RIDGERUNNER CT"," GOODLETTSVILLE","6912  RIDGERUNNER CT"," GOODLETTSVILLE"," TN"
21299,"018 00 0 041.00","SINGLE FAMILY","334  MONCRIEF AVE, GOODLETTSVILLE",2013-04-09,147000.00,20140908-0081941,No,1.15,"CITY OF GOODLETTSVILLE",30000.00,97900.00,131000.00,1959,3,1,0,"334  MONCRIEF AVE"," GOODLETTSVILLE","334  MONCRIEF AVE"," GOODLETTSVILLE"," TN"
8902,"018 00 0 042.00","SINGLE FAMILY","330  MONCRIEF AVE, GOODLETTSVILLE",2013-04-09,154900.00,20131028-0111690,No,0.66,"CITY OF GOODLETTSVILLE",28100.00,107700.00,140800.00,1948,3,1,0,"330  MONCRIEF AVE"," GOODLETTSVILLE","330  MONCRIEF AVE"," GOODLETTSVILLE"," TN"
4516,"018 00 0 097.00","SINGLE FAMILY","235  BRICK CHURCH PIKE, GOODLETTSVILLE",2013-04-09,250000.00,20130709-0070947,No,3.02,"CITY OF GOODLETTSVILLE",45100.00,105800.00,150900.00,1984,4,3,0,"235  BRICK CHURCH PIKE"," GOODLETTSVILLE","235  BRICK CHURCH PIKE"," GOODLETTSVILLE"," TN"
50583,"018 00 0 136.00","SINGLE FAMILY","522 UTLEY  DR, GOODLETTSVILLE",2013-04-09,305000.00,20160614-0060196,No,1.15,"CITY OF GOODLETTSVILLE",28100.00,260800.00,288900.00,1995,4,3,0,"522 UTLEY  DR"," GOODLETTSVILLE","522  UTLEY DR"," GOODLETTSVILLE"," TN"
8903,"018 00 0 164.00","VACANT RES LAND","332  MONCRIEF AVE, GOODLETTSVILLE",2013-04-09,25000.00,20131028-0111686,No,0.39,"CITY OF GOODLETTSVILLE",24000.00,175900.00,199900.00,2014,3,2,0,"332  MONCRIEF AVE"," GOODLETTSVILLE","332  MONCRIEF AVE"," GOODLETTSVILLE"," TN"
5805,"018 03 0 001.00","SINGLE FAMILY","314  ISAAC DR, GOODLETTSVILLE",2013-04-09,150000.00,20130715-0072680,No,0.56,"CITY OF GOODLETTSVILLE",28000.00,117100.00,154400.00,1968,3,1,1,"314  ISAAC DR"," GOODLETTSVILLE","314  ISAAC DR"," GOODLETTSVILLE"," TN"
5806,"018 03 0 002.00","SINGLE FAMILY","312  ISAAC DR, GOODLETTSVILLE",2013-04-09,156000.00,20130719-0074748,No,0.52,"CITY OF GOODLETTSVILLE",28000.00,154600.00,182600.00,1969,3,1,1,"312  ISAAC DR"," GOODLETTSVILLE","312  ISAAC DR"," GOODLETTSVILLE"," TN"
14425,"018 03 0 026.00",DUPLEX,"408  ISAAC DR, GOODLETTSVILLE",2013-04-09,170000.00,20140424-0034560,No,1.14,"CITY OF GOODLETTSVILLE",30800.00,130100.00,173600.00,1974,3,3,1,"408  ISAAC DR"," GOODLETTSVILLE","408  ISAAC DR"," GOODLETTSVILLE"," TN"
45287,"018 03 0 027.00","SINGLE FAMILY","410  ISAAC DR, GOODLETTSVILLE",2013-04-09,209761.00,20160405-0032582,No,1.24,"CITY OF GOODLETTSVILLE",30800.00,146900.00,179000.00,1966,4,2,0,"410  ISAAC DR"," GOODLETTSVILLE","410  ISAAC DR"," GOODLETTSVILLE"," TN"
48718,"018 07 0 011.00","SINGLE FAMILY","207 ISAAC  DR, GOODLETTSVILLE",2013-04-09,160900.00,20160503-0043688,No,0.55,"CITY OF GOODLETTSVILLE",28000.00,99200.00,131000.00,1960,3,1,0,"207 ISAAC  DR"," GOODLETTSVILLE","207  ISAAC DR"," GOODLETTSVILLE"," TN"
16922,"018 07 0 013.00","SINGLE FAMILY","203  ISAAC DR, GOODLETTSVILLE",2013-04-09,129500.00,20140627-0056397,No,0.57,"CITY OF GOODLETTSVILLE",28000.00,96300.00,124300.00,1961,2,1,0,"203  ISAAC DR"," GOODLETTSVILLE","203  ISAAC DR"," GOODLETTSVILLE"," TN"
18368,"018 07 0 014.00","SINGLE FAMILY","208  UTLEY DR, GOODLETTSVILLE",2013-04-09,158000.00,20140708-0059798,No,0.55,"CITY OF GOODLETTSVILLE",28000.00,123900.00,151900.00,1966,3,1,0,"208  UTLEY DR"," GOODLETTSVILLE","208  UTLEY DR"," GOODLETTSVILLE"," TN"
40657,"018 07 0 017.00","SINGLE FAMILY","202  UTLEY DR, GOODLETTSVILLE",2013-04-09,150000.00,20151202-0121355,No,0.54,"CITY OF GOODLETTSVILLE",28000.00,117600.00,145600.00,1962,3,1,1,"202  UTLEY DR"," GOODLETTSVILLE","202  UTLEY DR"," GOODLETTSVILLE"," TN"
27162,"018 07 0 019.00","SINGLE FAMILY","203  UTLEY DR, GOODLETTSVILLE",2013-04-09,170800.00,20150218-0013846,No,0.94,"CITY OF GOODLETTSVILLE",30800.00,145800.00,176600.00,1960,3,2,0,"203  UTLEY DR"," GOODLETTSVILLE","203  UTLEY DR"," GOODLETTSVILLE"," TN"
16923,"018 07 0 030.00","SINGLE FAMILY","110  UTLEY DR, GOODLETTSVILLE",2013-04-09,139050.00,20140702-0058174,No,0.58,"CITY OF GOODLETTSVILLE",28000.00,159900.00,193500.00,1969,3,1,1,"110  UTLEY DR"," GOODLETTSVILLE","110  UTLEY DR"," GOODLETTSVILLE"," TN"
29468,"018 07 0 039.00","SINGLE FAMILY","103  UTLEY DR, GOODLETTSVILLE",2013-04-09,125000.00,20150428-0037887,No,0.32,"CITY OF GOODLETTSVILLE",28000.00,110700.00,148800.00,1965,3,1,0,"103  UTLEY DR"," GOODLETTSVILLE","103  UTLEY DR"," GOODLETTSVILLE"," TN"
6994,"018 07 0 044.00","SINGLE FAMILY","204  LUCIEN RD, GOODLETTSVILLE",2013-04-09,123500.00,20130827-0090226,No,0.5,"CITY OF GOODLETTSVILLE",28000.00,95100.00,138200.00,1957,3,2,0,"204  LUCIEN RD"," GOODLETTSVILLE","204  LUCIEN RD"," GOODLETTSVILLE"," TN"
5807,"018 07 0 045.00","SINGLE FAMILY","202  LUCIEN RD, GOODLETTSVILLE",2013-04-09,75000.00,20130730-0078963,No,0.45,"CITY OF GOODLETTSVILLE",28000.00,101900.00,132600.00,1957,3,1,0,"202  LUCIEN RD"," GOODLETTSVILLE","202  LUCIEN RD"," GOODLETTSVILLE"," TN"
22715,"018 07 0 062.00","VACANT RESIDENTIAL LAND","507  MATHES CT, GOODLETTSVILLE",2013-04-09,25000.00,20141015-0095213,No,0.43,"CITY OF GOODLETTSVILLE",28000.00,207600.00,235600.00,2015,3,2,0,"507  MATHES CT"," GOODLETTSVILLE","507  MATHES CT"," GOODLETTSVILLE"," TN"
48719,"018 07 0 064.00","SINGLE FAMILY","511 MATHES  CT, GOODLETTSVILLE",2013-04-09,233000.00,20160517-0048930,No,0.45,"CITY OF GOODLETTSVILLE",28000.00,140400.00,168400.00,1976,3,2,0,"511 MATHES  CT"," GOODLETTSVILLE","511  MATHES CT"," GOODLETTSVILLE"," TN"
8904,"018 07 0 070.00","SINGLE FAMILY","508  MATHES CT, GOODLETTSVILLE",2013-04-09,153000.00,20131101-0113661,No,0.64,"CITY OF GOODLETTSVILLE",28000.00,165500.00,193500.00,1972,3,1,1,"508  MATHES CT"," GOODLETTSVILLE","508  MATHES CT"," GOODLETTSVILLE"," TN"
28156,"018 07 0 082.00","SINGLE FAMILY","107  CHARLESTON DR, GOODLETTSVILLE",2013-04-09,155000.00,20150330-0026903,No,0.34,"CITY OF GOODLETTSVILLE",28000.00,117600.00,145600.00,1976,3,2,0,"107  CHARLESTON DR"," GOODLETTSVILLE","107  CHARLESTON DR"," GOODLETTSVILLE"," TN"
18369,"018 07 0 090.00","SINGLE FAMILY","502  MYSTIC HILL DR, GOODLETTSVILLE",2013-04-09,175000.00,20140806-0070919,No,0.34,"CITY OF GOODLETTSVILLE",28000.00,118600.00,146600.00,1978,3,2,0,"502  MYSTIC HILL DR"," GOODLETTSVILLE","502  MYSTIC HILL DR"," GOODLETTSVILLE"," TN"
46860,"018 07 0 097.00","SINGLE FAMILY","605  LUCIEN RD, GOODLETTSVILLE",2013-04-09,167500.00,20160429-0042038,No,0.43,"CITY OF GOODLETTSVILLE",28000.00,96500.00,124500.00,1977,3,2,0,"605  LUCIEN RD"," GOODLETTSVILLE","605  LUCIEN RD"," GOODLETTSVILLE"," TN"
44077,"018 07 0 104.00","SINGLE FAMILY","205  BRYAN HOUSE DR, GOODLETTSVILLE",2013-04-09,180000.00,20160218-0015549,No,0.39,"CITY OF GOODLETTSVILLE",28000.00,117900.00,145900.00,1976,3,2,0,"205  BRYAN HOUSE DR"," GOODLETTSVILLE","205  BRYAN HOUSE DR"," GOODLETTSVILLE"," TN"
27163,"018 07 0 109.00","SINGLE FAMILY","105  BRYAN HOUSE DR, GOODLETTSVILLE",2013-04-09,80000.00,20150210-0012443,No,0.39,"CITY OF GOODLETTSVILLE",28000.00,103800.00,131800.00,1977,3,2,0,"105  BRYAN HOUSE DR"," GOODLETTSVILLE","105  BRYAN HOUSE DR"," GOODLETTSVILLE"," TN"
22716,"018 07 0 142.00","SINGLE FAMILY","301  MYSTIC HILL DR, GOODLETTSVILLE",2013-04-09,229900.00,20141027-0098944,No,0.35,"CITY OF GOODLETTSVILLE",28000.00,152400.00,180400.00,1985,3,2,0,"301  MYSTIC HILL DR"," GOODLETTSVILLE","301  MYSTIC HILL DR"," GOODLETTSVILLE"," TN"
25014,"018 07 0 150.00","SINGLE FAMILY","316  MYSTIC HILL DR, GOODLETTSVILLE",2013-04-09,158500.00,20150109-0002500,No,0.37,"CITY OF GOODLETTSVILLE",28000.00,123800.00,151800.00,1987,3,2,0,"316  MYSTIC HILL DR"," GOODLETTSVILLE","316  MYSTIC HILL DR"," GOODLETTSVILLE"," TN"
41928,"018 07 0 153.00","SINGLE FAMILY","407  HITT LN, GOODLETTSVILLE",2013-04-09,135000.00,20151210-0124245,No,0.36,"CITY OF GOODLETTSVILLE",28000.00,82500.00,110500.00,1970,3,2,0,"407  HITT LN"," GOODLETTSVILLE","405 B HITT LN"," GOODLETTSVILLE"," TN"
25015,"018 07 0 160.00","SINGLE FAMILY","402  CARLTON PL, GOODLETTSVILLE",2013-04-09,128000.00,20141216-0114858,No,0.38,"CITY OF GOODLETTSVILLE",28000.00,106200.00,134200.00,1989,3,2,0,"402  CARLTON PL"," GOODLETTSVILLE","402  CARLTON PL"," GOODLETTSVILLE"," TN"
